sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T01,rRNA,Unknown,6878,6038961,878.011195114859,9.36908985170108
T2T01,scRNA,Unknown,3599,367390,102.081133648236,10.8906918588497
T2T01,snRNA,Unknown,9942,902049,90.7311406155703,13.2121907060954
T2T01,srpRNA,Unknown,4406,597400,135.587834770767,16.490490240581
T2T01,tRNA,Unknown,3806,225246,59.1818181818182,10.8459800315292
T2T02,DNA,Crypton,568,83198,146.475352112676,25.5109154929577
T2T02,DNA,Crypton-A,268,39124,145.985074626866,26.8138059701493
T2T02,DNA,Kolobok,714,117631,164.749299719888,24.921568627451
T2T02,DNA,MULE-MuDR,5942,1973899,332.194378996971,18.1208179064288
T2T02,DNA,Merlin,443,76223,172.060948081264,21.3523702031603
T2T02,DNA,PIF-Harbinger,724,127352,175.900552486188,26.6805248618785
T2T02,DNA,PiggyBac,4776,1054352,220.760469011725,13.0064070351759
T2T02,DNA,TcMar,305,57737,189.301639344262,26.7770491803279
T2T02,DNA,TcMar-Mariner,32192,5653505,175.618321322068,15.1306225149105
T2T02,DNA,TcMar-Pogo,60,7306,121.766666666667,24.49
T2T02,DNA,TcMar-Tc1,1521,258290,169.815910585141,21.8993425378041
T2T02,DNA,TcMar-Tc2,15684,3244864,206.890079061464,24.1969268043866
T2T02,DNA,TcMar-Tigger,243835,73490620,301.39487768368,20.1932585559907
T2T02,DNA,Unknown,15190,2169601,142.830875576037,25.721198156682
T2T02,DNA,hAT,5392,985520,182.774480712166,26.0371661721068
T2T02,DNA,hAT-Ac,7747,1255287,162.035239447528,25.6569252613915
T2T02,DNA,hAT-Blackjack,31894,4659303,146.087132375995,22.2975700758763
T2T02,DNA,hAT-Charlie,497572,90314293,181.509998552973,23.0729711478942
T2T02,DNA,hAT-Tag1,3915,864384,220.787739463602,25.9113920817369
T2T02,DNA,hAT-Tip100,124014,24109875,194.412526005128,25.2869288951247
T2T02,DNA,hAT-hAT19,35,3269,93.4,22.3342857142857
T2T02,LINE,CR1,118878,20798297,174.954970642171,30.0243695216945
T2T02,LINE,Dong-R4,935,200479,214.416042780749,28.612513368984
T2T02,LINE,I-Jockey,239,28576,119.564853556485,26.9267782426778
T2T02,LINE,L1,1851959,985868467,532.338171093421,19.4709700916705
T2T02,LINE,L1-Tx1,346,93160,269.248554913295,28.0127167630058
T2T02,LINE,L2,953464,200638045,210.430645519915,29.5151346039284
T2T02,LINE,RTE-BovB,10473,1650487,157.594481046501,31.0222572328846
