metric	value	haplotype	asm_method	asm_name	source	chromosome
intra-chromosomal_gaps	7	haplotype2	phased_verkko	T2T04	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype2	phased_verkko	T2T04	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype2	phased_verkko	T2T04	misjoin	NA
inter-chromosomal_misjoins	0	both	phased_verkko	T2T04	misjoin	NA
intra-chromosomal_gaps	14	both	phased_verkko	T2T04	misjoin	NA
candidate_inversions_in_the_middle	4	both	phased_verkko	T2T04	misjoin	NA
candidate_inversions_at_contig_ends	2	both	phased_verkko	T2T04	misjoin	NA
inter-chromosomal_misjoins	1	haplotype1	phased_verkko	T2T04_1	misjoin	NA
intra-chromosomal_gaps	6	haplotype1	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype1	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T04_1	misjoin	NA
inter-chromosomal_misjoins	2	haplotype2	phased_verkko	T2T04_1	misjoin	NA
intra-chromosomal_gaps	10	haplotype2	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype2	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype2	phased_verkko	T2T04_1	misjoin	NA
inter-chromosomal_misjoins	3	both	phased_verkko	T2T04_1	misjoin	NA
intra-chromosomal_gaps	16	both	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_in_the_middle	2	both	phased_verkko	T2T04_1	misjoin	NA
candidate_inversions_at_contig_ends	0	both	phased_verkko	T2T04_1	misjoin	NA
inter-chromosomal_misjoins	1	haplotype1	phased_verkko	T2T04_2	misjoin	NA
intra-chromosomal_gaps	8	haplotype1	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_in_the_middle	0	haplotype1	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype1	phased_verkko	T2T04_2	misjoin	NA
inter-chromosomal_misjoins	0	haplotype2	phased_verkko	T2T04_2	misjoin	NA
intra-chromosomal_gaps	8	haplotype2	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype2	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_at_contig_ends	3	haplotype2	phased_verkko	T2T04_2	misjoin	NA
inter-chromosomal_misjoins	1	both	phased_verkko	T2T04_2	misjoin	NA
intra-chromosomal_gaps	16	both	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_in_the_middle	1	both	phased_verkko	T2T04_2	misjoin	NA
candidate_inversions_at_contig_ends	5	both	phased_verkko	T2T04_2	misjoin	NA
inter-chromosomal_misjoins	0	haplotype1	phased_verkko	T2T05	misjoin	NA
intra-chromosomal_gaps	6	haplotype1	phased_verkko	T2T05	misjoin	NA
candidate_inversions_in_the_middle	3	haplotype1	phased_verkko	T2T05	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T05	misjoin	NA
inter-chromosomal_misjoins	1	haplotype2	phased_verkko	T2T05	misjoin	NA
intra-chromosomal_gaps	6	haplotype2	phased_verkko	T2T05	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype2	phased_verkko	T2T05	misjoin	NA
candidate_inversions_at_contig_ends	2	haplotype2	phased_verkko	T2T05	misjoin	NA
inter-chromosomal_misjoins	1	both	phased_verkko	T2T05	misjoin	NA
intra-chromosomal_gaps	12	both	phased_verkko	T2T05	misjoin	NA
candidate_inversions_in_the_middle	5	both	phased_verkko	T2T05	misjoin	NA
candidate_inversions_at_contig_ends	2	both	phased_verkko	T2T05	misjoin	NA
inter-chromosomal_misjoins	1	haplotype1	phased_verkko	T2T06	misjoin	NA
intra-chromosomal_gaps	16	haplotype1	phased_verkko	T2T06	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype1	phased_verkko	T2T06	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T06	misjoin	NA
inter-chromosomal_misjoins	0	haplotype2	phased_verkko	T2T06	misjoin	NA
intra-chromosomal_gaps	9	haplotype2	phased_verkko	T2T06	misjoin	NA
candidate_inversions_in_the_middle	1	haplotype2	phased_verkko	T2T06	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype2	phased_verkko	T2T06	misjoin	NA
inter-chromosomal_misjoins	1	both	phased_verkko	T2T06	misjoin	NA
intra-chromosomal_gaps	25	both	phased_verkko	T2T06	misjoin	NA
candidate_inversions_in_the_middle	3	both	phased_verkko	T2T06	misjoin	NA
candidate_inversions_at_contig_ends	0	both	phased_verkko	T2T06	misjoin	NA
inter-chromosomal_misjoins	1	haplotype1	phased_verkko	T2T07	misjoin	NA
intra-chromosomal_gaps	7	haplotype1	phased_verkko	T2T07	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype1	phased_verkko	T2T07	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T07	misjoin	NA
inter-chromosomal_misjoins	0	haplotype2	phased_verkko	T2T07	misjoin	NA
intra-chromosomal_gaps	6	haplotype2	phased_verkko	T2T07	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype2	phased_verkko	T2T07	misjoin	NA
candidate_inversions_at_contig_ends	1	haplotype2	phased_verkko	T2T07	misjoin	NA
inter-chromosomal_misjoins	1	both	phased_verkko	T2T07	misjoin	NA
intra-chromosomal_gaps	13	both	phased_verkko	T2T07	misjoin	NA
candidate_inversions_in_the_middle	4	both	phased_verkko	T2T07	misjoin	NA
candidate_inversions_at_contig_ends	1	both	phased_verkko	T2T07	misjoin	NA
inter-chromosomal_misjoins	2	haplotype1	phased_verkko	T2T08	misjoin	NA
intra-chromosomal_gaps	10	haplotype1	phased_verkko	T2T08	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype1	phased_verkko	T2T08	misjoin	NA
candidate_inversions_at_contig_ends	0	haplotype1	phased_verkko	T2T08	misjoin	NA
inter-chromosomal_misjoins	2	haplotype2	phased_verkko	T2T08	misjoin	NA
intra-chromosomal_gaps	9	haplotype2	phased_verkko	T2T08	misjoin	NA
candidate_inversions_in_the_middle	2	haplotype2	phased_verkko	T2T08	misjoin	NA
